,n,rho,mu,distribution,mean_waiting_time,std_dev,ci_lower,ci_upper,variance,number_of_customers
158,2,0.9,1,M_D_N,2.189506902416811,2.3929847480658855,2.156340428002463,2.2226733768311586,5.7263760044759495,20000
159,2,0.9,1,M_D_N,2.185921821677521,2.3737203363035078,2.1545535784894785,2.217290064865564,5.634548234980838,22000
160,2,0.9,1,M_D_N,2.159343447847954,2.326605376098748,2.1299068848086407,2.1887800108872675,5.4130925760915956,24000
161,2,0.9,1,M_D_N,2.2240874879794132,2.437843800908255,2.1944536766487426,2.253721299310084,5.943082397626807,26000
162,2,0.9,1,M_D_N,2.2230462836728417,2.4147873988974964,2.1947605954097718,2.2513319719359117,5.831198181874136,28000
163,2,0.9,1,M_D_N,2.180264888606316,2.3806895644974246,2.1533242581533956,2.207205519059236,5.6676828025069375,30000
164,2,0.9,1,M_D_N,2.210229787426509,2.382112503286276,2.1841291088754176,2.2363304659776,5.674459978312807,32000
165,2,0.9,1,M_D_N,2.1764368915656087,2.3479770263505286,2.1514784228218344,2.201395360309383,5.51299611626987,34000
166,2,0.9,1,M_D_N,2.16188676434889,2.310626252886592,2.1380173839246512,2.1857561447731286,5.338993680528733,36000
167,2,0.9,1,M_D_N,2.1341766526554222,2.290887729294117,2.1111424102809044,2.15721089502994,5.248166588230356,38000
168,2,0.95,1,M_D_N,2.3146282824931514,1.6091969017596268,1.995328705414481,2.6339278595718216,2.589514668632782,100
169,2,0.95,1,M_D_N,8.244400565400465,4.529172670417715,7.881264189970365,8.607536940830565,20.51340507845874,600
170,2,0.95,1,M_D_N,9.149566412767394,4.272081782573243,8.884463720714413,9.414669104820375,18.250682756994177,1000
171,2,0.95,1,M_D_N,5.63973123581369,4.215982161113854,5.509039439957656,5.770423031669724,17.77450558283024,4000
172,2,0.95,1,M_D_N,5.467213769952846,4.26486321885448,5.367287589190171,5.567139950715521,18.1890582755378,7000
173,2,0.95,1,M_D_N,5.558344063924099,4.796598133602209,5.46432108669839,5.652367041149808,23.00735365527619,10000
174,2,0.95,1,M_D_N,5.290579903230361,4.4290588646724744,5.214437197200052,5.36672260926067,19.61656242673383,13000
175,2,0.95,1,M_D_N,4.925233468410121,4.253690654213437,4.859318073339597,4.991148863480645,18.093884181742737,16000
176,2,0.95,1,M_D_N,4.688826080947854,4.140195413241718,4.6299525885925785,4.74769957330313,17.141218059827754,19000
177,2,0.95,1,M_D_N,5.558344063924099,4.796598133602209,5.46432108669839,5.652367041149808,23.00735365527619,10000
178,2,0.95,1,M_D_N,5.32164100345757,4.539301285848811,5.240415897349976,5.4028661095651636,20.605256163708674,12000
179,2,0.95,1,M_D_N,5.0394950383121575,4.39014291393356,4.966767266452623,5.1122228101716924,19.273354804761052,14000
180,2,0.95,1,M_D_N,4.925233468410121,4.253690654213437,4.859318073339597,4.991148863480645,18.093884181742737,16000
181,2,0.95,1,M_D_N,4.656232755319124,4.159258693784278,4.595467269121392,4.716998241516856,17.299432881820103,18000
182,2,0.95,1,M_D_N,4.591735804285081,4.092327556037296,4.535016647469668,4.648454961100494,16.74714482590219,20000
183,2,0.95,1,M_D_N,4.877574388798862,4.4794923213374735,4.818378786711422,4.936769990886301,20.065851456921386,22000
184,2,0.95,1,M_D_N,4.913350945251381,4.415722464452962,4.857482556901425,4.969219333601337,19.49860488307454,24000
185,2,0.95,1,M_D_N,4.839971166548399,4.353811502023947,4.787047337477722,4.892894995619077,18.95567459515602,26000
186,2,0.95,1,M_D_N,4.706123006121481,4.288284465066299,4.655892050958467,4.7563539612844945,18.389383653328956,28000
187,2,0.95,1,M_D_N,4.665784840632877,4.245048701077185,4.617746536934716,4.713823144331037,18.020438474517096,30000
188,2,0.95,1,M_D_N,4.5512894147542715,4.1851046538417895,4.505433448202774,4.597145381305769,17.51510096360821,32000
189,2,0.95,1,M_D_N,4.578750834754072,4.1376163142163636,4.534768902097512,4.622732767410633,17.119868763669405,34000
190,2,0.95,1,M_D_N,4.471110539615692,4.106030796428162,4.4286941553167845,4.5135269239146,16.85948890121649,36000
191,2,0.95,1,M_D_N,4.465955242080829,4.1026617920595445,4.424704112708334,4.507206371453324,16.83183378002523,38000
192,4,0.7,1,M_D_N,0.11989292034136831,0.19319409467949744,0.08155902058192509,0.15822682010081152,0.037323958219030624,100
193,4,0.7,1,M_D_N,0.1712555286276968,0.32219771331488867,0.14542261866839415,0.19708843858699945,0.10381136646534318,600
194,4,0.7,1,M_D_N,0.2046595368602916,0.34572909145158687,0.1832054267730919,0.22611364694749128,0.1195286046759397,1000
195,4,0.7,1,M_D_N,0.19430699906092655,0.3222497894821693,0.18431753466278336,0.20429646345906974,0.10384492682130245,4000
196,4,0.7,1,M_D_N,0.19592590658617484,0.33710420279585596,0.18802752068823653,0.20382429248411316,0.1136392435426296,7000
197,4,0.7,1,M_D_N,0.1855438935019735,0.3206487357645513,0.17925853293173086,0.19182925407221615,0.10281561174740501,10000
198,4,0.7,1,M_D_N,0.1930316506464064,0.33431674532105454,0.18728420351649044,0.19877909777632236,0.11176768620206284,13000
199,4,0.7,1,M_D_N,0.20252484594491352,0.3436257289928683,0.19720000511274674,0.2078496867770803,0.11807864162588019,16000
200,4,0.7,1,M_D_N,0.1980407824078691,0.33729983561972793,0.19324438578603786,0.20283717902970033,0.11377117910909547,19000
201,4,0.7,1,M_D_N,0.1855438935019735,0.3206487357645513,0.17925853293173086,0.19182925407221615,0.10281561174740501,10000
202,4,0.7,1,M_D_N,0.19091035068525813,0.3327970318381388,0.1849553649900774,0.19686533638043888,0.11075386440027515,12000
203,4,0.7,1,M_D_N,0.19260928769750366,0.3320049617823866,0.18710924325929004,0.19810933213571727,0.11022729464812399,14000
204,4,0.7,1,M_D_N,0.20252484594491352,0.3436257289928683,0.19720000511274674,0.2078496867770803,0.11807864162588019,16000
205,4,0.7,1,M_D_N,0.19737931711070783,0.3375691330257933,0.19244753623246771,0.20231109798894795,0.11395291957178573,18000
206,4,0.7,1,M_D_N,0.19506028203808606,0.33374069764826475,0.1904346769988044,0.19968588707736773,0.11138285326675049,20000
207,4,0.7,1,M_D_N,0.1987426858618633,0.34530032660964505,0.1941796105693167,0.2033057611544099,0.11923231555672753,22000
208,4,0.7,1,M_D_N,0.20072944238768525,0.34746658427274457,0.1963332426208171,0.2051256421545534,0.12073302718616832,24000
209,4,0.7,1,M_D_N,0.202382126523569,0.34999403442238286,0.19812768775309939,0.2066365652940386,0.12249582413125613,26000
210,4,0.7,1,M_D_N,0.205359489395225,0.3535424221950302,0.20121825909621605,0.20950071969423395,0.12499224429152897,28000
211,4,0.7,1,M_D_N,0.19938993670346175,0.3467530625731558,0.19546597019539086,0.20331390321153264,0.12023768640386288,30000
212,4,0.7,1,M_D_N,0.19757561780028496,0.34522896097598127,0.19379296264670573,0.2013582729538642,0.1191830354965556,32000
213,4,0.7,1,M_D_N,0.19705555653312648,0.3439150346743547,0.19339981691254957,0.2007112961537034,0.11827755107506259,34000
214,4,0.7,1,M_D_N,0.19791334036877517,0.3453028336329647,0.19434627075409555,0.2014804099834548,0.11923404691495491,36000
215,4,0.7,1,M_D_N,0.19503982502547293,0.34138628845638785,0.1916072803350073,0.19847236971593857,0.11654459794602805,38000
216,4,0.8,1,M_D_N,0.21186976528502968,0.35159002543818463,0.1421066764394482,0.2816328541306112,0.1236155459876233,100
217,4,0.8,1,M_D_N,0.5327622856255615,0.7255803357115617,0.47458728715076254,0.5909372841003604,0.5264668235713026,600
218,4,0.8,1,M_D_N,0.5084926218325722,0.6587614409050698,0.46761338770437105,0.5493718559607732,0.43396663602332386,1000
219,4,0.8,1,M_D_N,0.39507282162519664,0.5145923318551016,0.37912090498660267,0.4110247382637906,0.264805268004071,4000
220,4,0.8,1,M_D_N,0.37800893539755753,0.49379503413802567,0.36643926731937687,0.3895786034757382,0.24383353573937394,7000
221,4,0.8,1,M_D_N,0.376558495142622,0.5062776437027368,0.36663443437332854,0.3864825559119155,0.2563170525131953,10000
222,4,0.8,1,M_D_N,0.3915404972152716,0.5422786511724056,0.3822178475995533,0.40086314683098995,0.29406613551736355,13000
